SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
1,176.039,10.269,1,21,176.039,14.181,1,29,True,True,True,True,False,True,True,True,True,False,True,True
2,159.787,14.203,1,32,159.787,11.096,1,25,True,True,True,True,False,True,True,True,True,False,True,True
3,224.719,21.723,1,29,224.719,23.221,1,31,False,False,True,True,False,False,True,True,False,False,False,False
4,259.536,22.021,2,56,259.536,25.954,2,66,False,False,True,True,False,False,True,True,False,False,False,False
5,185.615,15.468,1,20,232.019,19.335,1,25,False,True,True,True,False,False,True,True,False,False,True,False
6,157.303,16.479,2,44,179.775,18.352,2,49,True,True,True,False,False,False,True,True,False,False,False,False
7,297.521,21.488,1,26,247.934,18.182,1,22,False,False,True,True,False,False,True,True,False,False,False,False
8,145.719,12.75,1,42,127.505,12.447,2,41,True,True,True,False,True,True,True,True,False,True,False,True
9,279.813,23.984,1,36,159.893,19.987,1,30,False,False,True,True,False,False,True,True,False,False,False,False
10,253.879,20.216,2,43,169.252,15.985,1,34,False,False,True,True,False,True,True,True,False,False,False,True
11,329.068,27.422,2,60,274.223,26.508,2,58,False,False,True,True,False,False,True,True,False,False,False,False
12,106.572,5.329,1,6,159.858,9.769,1,11,True,True,True,True,False,True,True,True,True,False,True,True
13,159.681,17.964,1,27,159.681,14.637,1,22,True,False,True,True,False,True,True,True,True,False,False,True
14,169.014,16.901,1,24,169.014,16.901,1,24,True,True,True,True,False,True,True,True,True,False,True,True
15,194.426,15.878,2,49,194.426,19.767,2,61,False,True,True,False,False,False,True,True,False,False,False,False
16,200.669,18.395,1,33,267.559,22.297,2,40,False,False,True,True,False,False,True,True,False,False,False,False
17,251.142,19.406,2,51,228.311,20.548,2,54,False,False,True,True,False,False,True,True,False,False,False,False
18,55.249,4.604,1,5,55.249,5.525,1,6,True,True,True,True,True,True,True,True,True,True,True,True
19,56.604,5.66,1,6,56.604,4.717,1,5,True,True,True,True,True,True,True,True,True,True,True,True
20,108.597,10.86,1,24,108.597,14.48,1,32,True,True,True,True,True,True,True,True,True,True,True,True
21,233.564,23.356,2,54,181.661,21.626,2,50,False,False,True,True,False,False,True,True,False,False,False,False
22,264.434,25.562,2,58,211.547,27.325,2,62,False,False,True,True,False,False,True,True,False,False,False,False
23,209.15,24.837,2,57,235.294,22.658,3,52,False,False,True,False,False,False,False,True,False,False,False,False
24,224.888,18.741,1,25,179.91,16.492,1,22,False,False,True,True,False,True,True,True,False,False,False,True
25,98.555,6.899,1,21,98.555,6.57,1,20,True,True,True,True,True,True,True,True,True,True,True,True
26,239.76,17.982,1,18,179.82,17.982,1,18,False,False,True,True,False,False,True,True,False,False,False,False
27,251.866,27.052,2,58,223.881,29.384,2,63,False,False,True,False,False,False,True,True,False,False,False,False
28,99.092,5.78,1,7,49.546,4.955,1,6,True,True,True,True,True,True,True,True,True,True,True,True
29,146.699,13.855,2,17,146.699,22.005,2,27,True,True,True,True,True,False,True,True,True,True,True,False
30,258.435,17.229,1,24,172.29,15.075,1,21,False,False,True,True,False,True,True,True,False,False,False,True
31,267.032,22.937,2,67,246.491,26.018,4,76,False,False,True,True,False,False,False,True,False,False,False,False
32,279.07,25.0,2,43,279.07,22.093,2,38,False,False,True,True,False,False,True,True,False,False,False,False
33,243.704,20.309,2,50,219.334,22.746,2,56,False,False,True,True,False,False,True,True,False,False,False,False
34,186.8,17.435,2,56,186.8,17.746,2,57,False,False,True,True,False,False,True,True,False,False,False,False
35,189.394,15.152,1,24,151.515,16.414,1,26,False,True,True,True,False,True,True,True,False,False,True,True
36,46.404,3.867,1,5,46.404,2.32,1,3,True,True,True,True,True,True,True,True,True,True,True,True
37,130.814,14.535,1,20,130.814,18.895,1,26,True,True,True,True,True,False,True,True,True,True,True,False
38,106.572,9.769,1,11,106.572,8.881,1,10,True,True,True,True,True,True,True,True,True,True,True,True
39,261.905,25.397,2,64,238.095,25.794,2,65,False,False,True,True,False,False,True,True,False,False,False,False
40,239.521,21.956,1,22,179.641,13.972,1,14,False,False,True,True,False,True,True,True,False,False,False,True
41,66.927,6.135,1,11,66.927,7.808,1,14,True,True,True,True,True,True,True,True,True,True,True,True
42,121.601,11.822,2,70,121.601,13.342,3,79,True,True,True,True,True,True,False,True,True,False,True,False
43,239.641,16.975,1,34,149.775,12.981,1,26,False,True,True,True,True,True,True,True,False,True,True,True
