SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
1,219.78,17.316,2,52,139.86,13.986,2,42,False,False,True,True,True,True,True,True,False,True,False,True
2,167.866,15.588,2,39,191.847,16.787,2,42,True,True,True,True,False,True,True,True,True,False,True,True
3,191.693,11.981,1,15,191.693,18.371,1,23,False,True,True,True,False,False,True,True,False,False,True,False
4,216.749,15.764,2,48,157.635,15.107,2,46,False,True,True,True,False,True,True,True,False,False,True,True
5,230.179,18.223,2,57,172.634,22.059,2,69,False,False,True,True,False,False,True,True,False,False,False,False
6,179.91,11.994,1,16,134.933,12.744,1,17,True,True,True,True,True,True,True,True,True,True,True,True
7,119.88,8.991,1,9,59.94,4.995,1,5,True,True,True,True,True,True,True,True,True,True,True,True
8,60.0,8.0,1,8,60.0,8.0,1,8,True,True,True,True,True,True,True,True,True,True,True,True
9,49.628,2.481,1,3,49.628,2.481,1,3,True,True,True,True,True,True,True,True,True,True,True,True
10,121.951,9.756,1,24,97.561,8.943,1,22,True,True,True,True,True,True,True,True,True,True,True,True
11,49.628,2.481,1,3,49.628,2.481,1,3,True,True,True,True,True,True,True,True,True,True,True,True
12,130.719,8.715,1,12,130.719,11.619,1,16,True,True,True,True,True,True,True,True,True,True,True,True
13,38.885,3.889,1,6,38.885,6.481,1,10,True,True,True,True,True,True,True,True,True,True,True,True
14,157.895,12.573,2,43,105.263,12.281,2,42,True,True,True,True,True,True,True,True,True,True,True,True
15,231.164,18.408,2,43,256.849,20.548,2,48,False,False,True,True,False,False,True,True,False,False,False,False
16,165.094,12.972,2,33,141.509,11.006,2,28,True,True,True,True,True,True,True,True,True,True,True,True
17,190.045,17.647,2,39,162.896,18.552,2,41,False,False,True,True,False,False,True,True,False,False,False,False
18,59.94,4.995,1,10,59.94,5.994,1,12,True,True,True,True,True,True,True,True,True,True,True,True
