SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
1,251.497,16.766,1,28,215.569,21.557,1,36,False,True,True,True,False,False,True,True,False,False,True,False
2,177.122,15.129,2,41,199.262,14.391,2,39,True,True,True,True,False,True,True,True,True,False,True,True
3,269.663,19.85,2,53,224.719,20.599,2,55,False,False,True,False,False,False,True,True,False,False,False,False
4,295.983,22.903,2,65,211.416,18.323,2,52,False,False,True,True,False,False,True,True,False,False,False,False
5,113.565,9.779,1,31,75.71,7.256,1,23,True,True,True,True,True,True,True,True,True,True,True,True
6,126.263,9.259,2,22,75.758,7.576,2,18,True,True,True,True,True,True,True,True,True,True,True,True
7,44.91,2.246,1,3,44.91,2.246,1,3,True,True,True,True,True,True,True,True,True,True,True,True
8,177.62,17.17,2,58,159.858,14.802,2,50,True,False,True,True,False,True,True,True,True,False,False,True
9,182.648,13.699,1,36,136.986,11.796,1,31,False,True,True,True,True,True,True,True,False,True,True,True
10,182.648,16.362,2,43,159.817,12.557,2,33,False,True,True,True,False,True,True,True,False,False,True,True
11,205.401,16.736,2,44,182.579,15.215,2,40,False,True,True,True,False,True,True,True,False,False,True,True
12,202.89,15.678,2,51,147.556,13.526,2,44,False,True,True,True,True,True,True,True,False,True,True,True
13,175.336,15.196,1,26,105.202,8.767,1,15,True,True,True,True,True,True,True,True,True,True,True,True
14,124.539,11.07,2,48,124.539,10.609,2,46,True,True,True,True,True,True,True,True,True,True,True,True
15,86.331,6.235,1,13,57.554,5.276,1,11,True,True,True,True,True,True,True,True,True,True,True,True
16,93.848,7.299,1,14,62.565,6.257,1,12,True,True,True,True,True,True,True,True,True,True,True,True
17,139.211,9.281,1,12,92.807,8.507,1,11,True,True,True,True,True,True,True,True,True,True,True,True
18,130.8,9.343,1,30,112.115,9.654,1,31,True,True,True,True,True,True,True,True,True,True,True,True
19,200.669,15.608,1,28,167.224,20.624,2,37,False,True,True,True,False,False,True,True,False,False,True,False
20,221.402,15.683,1,34,166.052,15.683,1,34,False,True,True,True,False,True,True,True,False,False,True,True
21,169.252,18.336,1,39,141.044,12.224,1,26,True,False,True,False,True,True,True,True,False,True,False,True
22,123.245,12.325,1,36,102.705,9.586,1,28,True,True,True,True,True,True,True,True,True,True,True,True
23,121.951,9.756,1,24,121.951,8.537,1,21,True,True,True,True,True,True,True,True,True,True,True,True
24,176.991,17.33,2,47,154.867,15.855,2,43,True,False,True,True,False,True,True,True,True,False,False,True
25,182.432,14.189,2,42,202.703,18.243,2,54,False,True,True,True,False,False,True,True,False,False,True,False
26,154.11,10.274,1,12,205.479,13.699,1,16,True,True,True,True,False,True,True,True,True,False,True,True
27,151.451,15.145,1,36,126.21,12.2,1,29,True,True,True,True,True,True,True,True,True,True,True,True
28,191.755,13.423,1,42,115.053,11.825,1,37,False,True,True,False,True,True,True,True,False,True,False,True
29,218.864,19.281,1,37,218.864,20.323,2,39,False,False,True,True,False,False,True,True,False,False,False,False
30,231.929,20.101,2,52,231.929,21.26,2,55,False,False,True,True,False,False,True,True,False,False,False,False
31,151.42,9.464,1,30,94.637,9.464,1,30,True,True,True,True,True,True,True,True,True,True,True,True
32,179.775,15.73,1,42,179.775,14.607,2,39,True,True,True,False,False,True,True,True,False,False,False,True
33,224.888,17.991,2,48,179.91,20.615,2,55,False,False,True,True,False,False,True,True,False,False,False,False
34,342.02,28.502,1,35,244.3,20.358,1,25,False,False,True,True,False,False,True,True,False,False,False,False
35,212.264,18.475,2,47,165.094,14.544,2,37,False,False,True,True,False,True,True,True,False,False,False,True
36,136.226,13.623,2,54,105.954,14.379,2,57,True,True,True,False,True,True,True,True,False,True,False,True
37,150.586,11.991,2,43,100.39,10.039,2,36,True,True,True,True,True,True,True,True,True,True,True,True
38,175.812,15.184,2,57,175.812,14.651,2,55,True,True,True,True,False,True,True,True,True,False,True,True
39,129.465,10.07,2,42,86.31,6.234,2,26,True,True,True,True,True,True,True,True,True,True,True,True
40,130.755,12.258,2,45,98.066,11.713,2,43,True,True,True,True,True,True,True,True,True,True,True,True
41,186.418,18.642,2,42,292.943,23.524,2,53,False,False,True,True,False,False,True,True,False,False,False,False
42,95.898,9.057,1,17,95.898,9.057,1,17,True,True,True,True,True,True,True,True,True,True,True,True
43,282.908,21.218,2,54,212.181,19.646,2,50,False,False,True,True,False,False,True,True,False,False,False,False
44,179.788,14.71,2,54,163.443,16.617,2,61,True,True,True,True,False,True,True,True,True,False,True,True
45,106.572,13.766,1,31,106.572,11.545,1,26,True,True,True,True,True,True,True,True,True,True,True,True
46,340.733,27.878,2,54,278.782,30.459,2,59,False,False,True,True,False,False,True,True,False,False,False,False
47,200.781,15.895,2,57,117.122,13.664,2,49,False,True,True,True,True,True,True,True,False,True,True,True
48,148.295,12.605,2,51,103.806,10.875,2,44,True,True,True,True,True,True,True,True,True,True,True,True
