SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
1,202.566,14.517,2,43,162.053,15.192,2,45,False,True,True,True,False,True,True,True,False,False,True,True
2,137.615,12.719,2,61,137.615,14.595,3,70,True,True,True,False,True,True,False,True,False,False,False,False
3,166.001,16.907,2,55,147.556,17.83,2,58,True,True,True,True,True,False,True,True,True,True,True,False
4,119.76,13.307,1,20,119.76,16.633,1,25,True,True,True,True,True,True,True,True,True,True,True,True
5,170.593,14.622,1,36,146.223,14.622,1,36,True,True,True,True,True,True,True,True,True,True,True,True
6,81.448,6.335,1,14,81.448,6.335,1,14,True,True,True,True,True,True,True,True,True,True,True,True
7,244.898,21.429,1,42,153.061,22.449,2,44,False,False,True,False,False,False,True,True,False,False,False,False
8,212.348,16.909,2,43,188.753,18.875,2,48,False,True,True,True,False,False,True,True,False,False,True,False
9,136.364,12.5,2,22,136.364,10.795,2,19,True,True,True,True,True,True,True,True,True,True,True,True
10,146.282,14.628,2,36,146.282,15.035,2,37,True,True,True,True,True,True,True,True,True,True,True,True
11,27.663,2.305,1,5,27.663,2.305,1,5,True,True,True,True,True,True,True,True,True,True,True,True
12,82.949,7.373,1,16,82.949,8.756,1,19,True,True,True,True,True,True,True,True,True,True,True,True
13,179.949,17.566,2,41,179.949,22.708,3,53,True,False,True,True,False,False,False,True,True,False,False,False
14,175.336,16.365,1,28,140.269,14.027,1,24,True,True,True,True,True,True,True,True,True,True,True,True
15,185.759,13.932,1,18,185.759,16.254,1,21,False,True,True,True,False,True,True,True,False,False,True,True
16,197.554,15.052,1,32,141.11,15.052,1,32,False,True,True,True,True,True,True,True,False,True,True,True
17,221.227,15.802,2,60,221.227,21.859,3,83,False,True,True,True,False,False,False,True,False,False,True,False
18,274.129,23.986,2,42,239.863,21.702,2,38,False,False,True,True,False,False,True,True,False,False,False,False
19,154.242,11.997,1,14,154.242,14.567,1,17,True,True,True,True,False,True,True,True,True,False,True,True
20,183.007,18.301,2,42,183.007,20.044,2,46,False,False,True,True,False,False,True,True,False,False,False,False
21,258.993,20.144,2,42,230.216,25.42,2,53,False,False,True,True,False,False,True,True,False,False,False,False
22,185.615,13.148,1,34,162.413,12.374,1,32,False,True,True,True,False,True,True,True,False,False,True,True
23,156.732,15.436,2,65,128.236,12.586,2,53,True,True,True,True,True,True,True,True,True,True,True,True
24,165.289,15.152,2,55,165.289,18.733,2,68,True,True,True,False,False,False,True,True,False,False,False,False
25,221.239,18.437,2,50,154.867,15.487,2,42,False,False,True,True,False,True,True,True,False,False,False,True
26,122.771,11.4,2,39,140.31,12.862,2,44,True,True,True,True,True,True,True,True,True,True,True,True
27,104.712,8.726,1,20,130.89,9.162,1,21,True,True,True,True,True,True,True,True,True,True,True,True
28,261.628,19.622,1,27,174.419,15.262,1,21,False,False,True,True,False,True,True,True,False,False,False,True
29,66.89,6.132,1,11,66.89,7.246,1,13,True,True,True,True,True,True,True,True,True,True,True,True
30,205.415,19.919,2,64,186.741,17.74,2,57,False,False,True,False,False,False,True,True,False,False,False,False
31,189.155,16.393,1,26,151.324,17.654,1,28,False,True,True,True,False,False,True,True,False,False,True,False
32,213.333,16.889,1,19,160.0,18.667,1,21,False,True,True,True,False,False,True,True,False,False,True,False
33,287.833,22.242,2,51,183.166,22.678,2,52,False,False,True,True,False,False,True,True,False,False,False,False
34,199.734,19.973,1,30,119.84,12.65,1,19,False,False,True,True,True,True,True,True,False,True,False,True
35,196.221,18.169,2,50,239.826,21.439,2,59,False,False,True,True,False,False,True,True,False,False,False,False
36,271.033,25.409,2,45,237.154,21.457,2,38,False,False,True,True,False,False,True,True,False,False,False,False
37,273.973,23.402,1,41,171.233,22.831,2,40,False,False,True,False,False,False,True,True,False,False,False,False
38,210.403,18.118,2,31,140.269,18.703,2,32,False,False,True,True,True,False,True,True,False,True,False,False
39,287.54,24.601,2,77,230.032,26.837,3,84,False,False,True,False,False,False,False,True,False,False,False,False
40,233.312,19.443,1,30,194.426,23.331,1,36,False,False,True,True,False,False,True,True,False,False,False,False
41,272.109,21.704,2,67,174.927,19.112,2,59,False,False,True,True,False,False,True,True,False,False,False,False
42,205.62,15.079,1,22,164.496,21.933,1,32,False,True,True,True,False,False,True,True,False,False,True,False
43,183.673,15.306,2,30,122.449,11.735,2,23,False,True,True,True,True,True,True,True,False,True,True,True
44,278.207,17.774,1,23,139.104,10.046,1,13,False,False,True,True,True,True,True,True,False,True,False,True
45,258.993,24.94,2,52,172.662,15.827,1,33,False,False,True,True,False,True,True,True,False,False,False,True
46,82.192,5.479,1,8,82.192,9.589,1,14,True,True,True,True,True,True,True,True,True,True,True,True
47,51.37,4.281,1,5,102.74,11.986,1,14,True,True,True,True,True,True,True,True,True,True,True,True
48,201.935,16.828,1,40,176.693,17.249,2,41,False,True,True,False,False,False,True,True,False,False,False,False
49,57.582,4.798,1,5,57.582,4.798,1,5,True,True,True,True,True,True,True,True,True,True,True,True
50,179.91,11.244,1,15,179.91,12.744,1,17,True,True,True,True,False,True,True,True,True,False,True,True
51,121.852,13.81,2,34,121.852,15.435,2,38,True,True,True,True,True,True,True,True,True,True,True,True
52,205.479,17.694,1,31,171.233,19.406,1,34,False,False,True,True,False,False,True,True,False,False,False,False
53,119.88,12.321,2,37,119.88,15.318,2,46,True,True,True,True,True,True,True,True,True,True,True,True
54,167.317,15.059,1,27,133.854,15.059,1,27,True,True,True,True,True,True,True,True,True,True,True,True
55,261.601,19.62,2,63,205.543,15.26,2,49,False,False,True,True,False,True,True,True,False,False,False,True
56,234.179,19.794,2,71,183.998,18.679,3,67,False,False,True,False,False,False,False,True,False,False,False,False
57,195.324,17.165,2,58,159.811,14.797,2,50,False,False,True,False,False,True,True,True,False,False,False,True
58,110.65,11.296,2,49,110.65,9.912,2,43,True,True,True,False,True,True,True,True,False,True,False,True
59,59.94,4.995,1,5,119.88,13.986,1,14,True,True,True,True,True,True,True,True,True,True,True,True
60,208.551,16.684,2,48,104.275,12.513,1,36,False,True,True,True,True,True,True,True,False,True,True,True
61,255.864,19.19,1,36,191.898,21.855,2,41,False,False,True,True,False,False,True,True,False,False,False,False
62,191.847,15.188,1,19,143.885,14.388,1,18,False,True,True,True,True,True,True,True,False,True,True,True
63,46.404,2.32,1,3,46.404,2.32,1,3,True,True,True,True,True,True,True,True,True,True,True,True
64,258.303,22.14,1,36,221.402,21.525,1,35,False,False,True,True,False,False,True,True,False,False,False,False
65,115.163,8.637,1,9,172.745,14.395,1,15,True,True,True,True,False,True,True,True,True,False,True,True
66,230.105,18.217,1,19,172.579,14.382,1,15,False,False,True,True,False,True,True,True,False,False,False,True
67,251.799,24.58,1,41,251.799,21.583,1,36,False,False,True,False,False,False,True,True,False,False,False,False
68,208.817,16.241,1,42,208.817,21.268,2,55,False,True,True,False,False,False,True,True,False,False,False,False
69,172.579,12.464,1,13,115.053,9.588,1,10,True,True,True,True,True,True,True,True,True,True,True,True
70,309.735,24.336,2,66,243.363,23.23,2,63,False,False,True,True,False,False,True,True,False,False,False,False
71,208.817,15.855,1,41,162.413,13.921,1,36,False,True,True,False,False,True,True,True,False,False,False,True
72,250.195,21.371,2,82,234.558,25.02,3,96,False,False,True,False,False,False,False,True,False,False,False,False
73,172.579,16.779,1,35,115.053,13.902,1,29,True,True,True,True,True,True,True,True,True,True,True,True
74,239.84,23.984,1,36,239.84,23.984,1,36,False,False,True,True,False,False,True,True,False,False,False,False
75,248.139,22.746,2,55,198.511,28.536,2,69,False,False,True,True,False,False,True,True,False,False,False,False
76,211.566,14.81,1,21,169.252,14.104,1,20,False,True,True,True,False,True,True,True,False,False,True,True
77,207.889,16.791,2,63,127.932,13.326,2,50,False,True,True,True,True,True,True,True,False,True,True,True
78,189.394,14.52,1,23,227.273,17.045,1,27,False,True,True,True,False,False,True,True,False,False,True,False
79,87.209,6.904,1,19,87.209,7.631,1,21,True,True,True,True,True,True,True,True,True,True,True,True
80,228.07,16.959,2,58,140.351,15.789,2,54,False,True,True,True,True,True,True,True,False,True,True,True
81,164.384,15.068,1,22,164.384,16.438,1,24,True,True,True,True,False,True,True,True,True,False,True,True
