SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
1,136.986,13.128,1,23,102.74,9.703,1,17,True,True,True,True,True,True,True,True,True,True,True,True
2,176.693,18.09,2,43,151.451,21.876,2,52,True,False,True,True,False,False,True,True,True,False,False,False
3,155.541,15.23,2,47,136.099,17.498,2,54,True,True,True,True,True,False,True,True,True,True,True,False
4,252.313,16.821,1,40,227.082,18.082,2,43,False,True,True,False,False,False,True,True,False,False,False,False
5,210.526,19.298,1,33,210.526,19.883,1,34,False,False,True,True,False,False,True,True,False,False,False,False
6,132.792,12.91,1,35,132.792,16.599,2,45,True,True,True,True,True,True,True,True,True,True,True,True
7,258.303,20.91,1,34,147.601,15.99,1,26,False,False,True,True,True,True,True,True,False,True,False,True
8,244.773,20.398,1,40,183.58,16.828,1,33,False,False,True,False,False,True,True,True,False,False,False,True
9,154.11,17.979,2,42,102.74,14.555,2,34,True,False,True,True,True,True,True,True,True,True,False,True
10,159.858,13.766,1,31,133.215,19.094,2,43,True,True,True,True,True,False,True,True,True,True,True,False
11,221.3,18.442,1,40,138.313,15.675,1,34,False,False,True,False,True,True,True,True,False,True,False,True
12,223.761,17.581,1,33,159.83,17.048,1,32,False,False,True,True,False,False,True,True,False,False,False,False
13,244.233,20.805,2,46,189.959,19.448,2,43,False,False,True,True,False,False,True,True,False,False,False,False
14,120.0,12.0,1,12,120.0,14.0,1,14,True,True,True,True,True,True,True,True,True,True,True,True
15,213.144,18.65,1,42,133.215,15.986,1,36,False,False,True,False,True,True,True,True,False,True,False,True
16,227.082,21.867,2,52,176.619,17.662,2,42,False,False,True,True,False,False,True,True,False,False,False,False
17,233.312,20.739,1,32,311.082,28.516,2,44,False,False,True,True,False,False,True,True,False,False,False,False
18,279.07,25.0,2,43,279.07,23.837,2,41,False,False,True,True,False,False,True,True,False,False,False,False
19,179.795,17.551,1,41,128.425,15.839,2,37,True,False,True,False,True,True,True,True,False,True,False,True
20,165.899,16.59,1,18,165.899,15.668,1,17,True,True,True,True,False,True,True,True,True,False,True,True
21,148.801,18.187,2,66,148.801,16.533,2,60,True,False,True,True,True,True,True,True,True,True,False,True
22,189.274,20.82,1,33,189.274,18.297,1,29,False,False,True,True,False,False,True,True,False,False,False,False
23,205.479,17.435,2,56,186.8,20.859,2,67,False,False,True,True,False,False,True,True,False,False,False,False
24,239.76,18.482,1,37,239.76,24.476,2,49,False,False,True,True,False,False,True,True,False,False,False,False
25,221.402,22.14,2,48,249.077,25.83,2,56,False,False,True,True,False,False,True,True,False,False,False,False
26,209.241,17.437,2,80,196.164,17.219,2,79,False,False,True,False,False,False,True,False,False,False,False,False
27,280.702,20.468,2,35,210.526,20.468,2,35,False,False,True,True,False,False,True,True,False,False,False,False
28,279.17,22.19,2,62,193.271,22.906,2,64,False,False,True,True,False,False,True,True,False,False,False,False
29,177.398,19.054,2,58,177.398,23.653,2,72,True,False,True,True,False,False,True,False,True,False,False,False
30,248.963,19.364,2,42,165.975,16.136,2,35,False,False,True,True,False,True,True,True,False,False,False,True
31,193.638,18.903,1,41,165.975,19.825,2,43,False,False,True,False,False,False,True,True,False,False,False,False
32,198.429,16.122,2,39,173.625,16.536,2,40,False,True,True,True,False,True,True,True,False,False,True,True
33,261.723,17.448,1,16,196.292,19.629,1,18,False,False,True,True,False,False,True,True,False,False,False,False
34,228.883,17.439,2,64,163.488,13.079,2,48,False,False,True,False,False,True,True,True,False,False,False,True
35,187.696,16.336,2,47,166.84,17.032,2,49,False,True,True,True,False,False,True,True,False,False,True,False
36,269.703,20.677,2,69,233.743,24.573,2,82,False,False,True,False,False,False,True,False,False,False,False,False
37,184.388,18.439,1,30,147.511,20.283,1,33,False,False,True,True,True,False,True,True,False,True,False,False
38,189.274,20.82,1,33,151.42,16.404,1,26,False,False,True,True,False,True,True,True,False,False,False,True
39,198.511,15.715,1,19,198.511,18.197,1,22,False,True,True,True,False,False,True,True,False,False,True,False
40,143.713,11.976,1,10,143.713,14.371,1,12,True,True,True,True,True,True,True,True,True,True,True,True
41,239.68,21.305,1,32,199.734,23.302,1,35,False,False,True,True,False,False,True,True,False,False,False,False
42,209.79,16.484,1,33,149.85,16.983,1,34,False,True,True,True,True,True,True,True,False,True,True,True
43,239.808,21.183,2,53,215.827,21.982,2,55,False,False,True,True,False,False,True,True,False,False,False,False
44,207.612,19.896,2,46,181.661,18.166,2,42,False,False,True,True,False,False,True,True,False,False,False,False
45,278.422,23.202,1,30,185.615,22.428,1,29,False,False,True,True,False,False,True,True,False,False,False,False
46,200.725,17.285,2,62,183.998,20.63,2,74,False,False,True,True,False,False,True,False,False,False,False,False
47,234.949,20.558,1,42,176.211,17.621,1,36,False,False,True,False,False,False,True,True,False,False,False,False
48,194.363,17.817,2,55,174.927,17.493,2,54,False,False,True,False,False,False,True,True,False,False,False,False
49,172.634,16.944,2,53,134.271,13.107,2,41,True,True,True,True,True,True,True,True,True,True,True,True
50,134.933,11.994,1,16,44.978,8.246,1,11,True,True,True,True,True,True,True,True,True,True,True,True
51,193.202,16.816,2,47,128.801,14.311,2,40,False,True,True,True,True,True,True,True,False,True,True,True
52,191.77,19.177,2,48,191.77,20.376,2,51,False,False,True,True,False,False,True,True,False,False,False,False
53,179.775,14.232,1,19,179.775,15.73,1,21,True,True,True,True,False,True,True,True,True,False,True,True
54,197.461,17.866,1,38,169.252,18.806,2,40,False,False,True,False,False,False,True,True,False,False,False,False
55,128.968,11.574,2,70,79.365,9.755,2,59,True,True,True,True,True,True,True,True,True,True,True,True
56,181.868,15.982,2,58,99.201,14.329,2,52,False,True,True,False,True,True,True,True,False,True,False,True
57,138.648,16.753,2,58,103.986,15.309,2,53,True,True,True,True,True,True,True,True,True,True,True,True
58,130.776,14.385,1,33,130.776,11.77,1,27,True,True,True,True,True,True,True,True,True,True,True,True
59,182.094,14.264,2,47,145.675,13.961,2,46,False,True,True,True,True,True,True,True,False,True,True,True
60,81.081,8.784,2,13,81.081,6.757,2,10,True,True,True,True,True,True,True,True,True,True,True,True
61,133.215,11.101,1,25,133.215,12.433,1,28,True,True,True,True,True,True,True,True,True,True,True,True
62,283.019,25.0,2,53,226.415,24.057,2,51,False,False,True,True,False,False,True,True,False,False,False,False
63,245.614,18.713,1,32,245.614,20.468,1,35,False,False,True,True,False,False,True,True,False,False,False,False
64,179.82,14.985,1,15,179.82,12.987,1,13,True,True,True,True,False,True,True,True,True,False,True,True
65,171.233,17.694,1,31,205.479,18.265,1,32,True,False,True,True,False,False,True,True,True,False,False,False
66,145.935,14.593,1,42,166.782,18.416,2,53,True,True,True,False,False,False,True,True,False,False,False,False
67,240.0,22.0,1,22,240.0,21.0,1,21,False,False,True,True,False,False,True,True,False,False,False,False
68,213.869,19.767,2,61,174.984,14.582,2,45,False,False,True,True,False,True,True,True,False,False,False,True
69,205.58,16.153,1,33,146.843,12.726,1,26,False,True,True,True,True,True,True,True,False,True,True,True
70,287.693,22.909,2,43,255.727,25.573,2,48,False,False,True,True,False,False,True,True,False,False,False,False
71,151.388,16.821,1,40,126.156,15.139,1,36,True,True,True,False,True,True,True,True,False,True,False,True
72,221.321,19.919,2,54,154.924,16.968,2,46,False,False,True,True,False,True,True,True,False,False,False,True
73,143.885,10.791,1,9,143.885,13.189,1,11,True,True,True,True,True,True,True,True,True,True,True,True
74,174.355,16.709,2,46,130.766,12.713,2,35,True,True,True,True,True,True,True,True,True,True,True,True
75,60.0,11.0,1,11,60.0,11.0,1,11,True,True,True,True,True,True,True,True,True,True,True,True
76,195.382,19.834,2,67,142.096,18.354,2,62,False,False,True,True,True,False,True,True,False,True,False,False
77,180.0,16.0,1,16,60.0,11.0,1,11,True,True,True,True,True,True,True,True,True,True,True,True
78,188.214,17.477,2,78,161.326,20.166,2,90,False,False,True,False,False,False,True,False,False,False,False,False
79,261.533,19.978,2,55,196.15,16.346,2,45,False,False,True,True,False,True,True,True,False,False,False,True
80,242.634,21.375,2,74,225.303,24.841,2,86,False,False,True,False,False,False,True,False,False,False,False,False
81,199.188,20.657,2,56,199.188,19.181,2,52,False,False,True,True,False,False,True,True,False,False,False,False
82,380.818,21.862,1,31,253.879,22.567,1,32,False,False,True,True,False,False,True,True,False,False,False,False
83,188.908,18.649,2,77,203.439,21.07,2,87,False,False,True,False,False,False,True,False,False,False,False,False
84,186.418,18.642,2,42,159.787,19.53,2,44,False,False,True,True,False,False,True,True,False,False,False,False
85,225.67,23.977,2,51,197.461,25.388,2,54,False,False,True,True,False,False,True,True,False,False,False,False
86,299.7,23.976,2,48,239.76,24.975,2,50,False,False,True,False,False,False,True,True,False,False,False,False
87,267.857,25.0,2,56,321.429,29.911,2,67,False,False,True,True,False,False,True,True,False,False,False,False
88,268.184,19.504,2,48,195.043,22.349,2,55,False,False,True,True,False,False,True,True,False,False,False,False
89,252.419,23.98,2,57,277.661,30.29,2,72,False,False,True,True,False,False,True,False,False,False,False,False
90,172.579,12.464,1,13,287.632,21.093,1,22,True,True,True,True,False,False,True,True,True,False,True,False
91,316.944,23.161,2,57,292.564,26.006,2,64,False,False,True,True,False,False,True,True,False,False,False,False
92,230.105,17.258,1,36,172.579,15.82,1,33,False,False,True,True,False,True,True,True,False,False,False,True
93,227.158,19.687,2,78,181.726,19.939,2,79,False,False,True,False,False,False,True,False,False,False,False,False
